time,HeatLoad,T_amb,HeatLoad_test
0,2283.607,-1,326.2295714
1,2395.921,-1,342.2744286
2,2417.937,-2,345.4195714
3,2417.937,-2,345.4195714
4,2653.771,-2,379.1101429
5,2844.36,-4,406.3371429
6,3236.486,-6,462.3551429
7,3132.077,-7,447.4395714
8,3115.464,-7,445.0662857
9,2840.681,-6,405.8115714
10,2336.478,-5,333.7825714
11,1946.708,-3,278.1011429
12,1783.108,-1,254.7297143
13,1739.255,1,248.465
14,2204.371,1,314.9101429
15,2204.371,1,314.9101429
16,2149.726,1,307.1037143
17,2050,-2,292.8571429
18,2011.206,2,287.3151429
19,2049.572,1,292.796
20,2200.757,0,314.3938571
21,2263.991,0,323.4272857
22,2286.03,-1,326.5757143
23,2554.975,-1,364.9964286
